,AGE,DRIVING_EXPERIENCE,CREDIT_SCORE,VEHICLE_OWNERSHIP,MARRIED,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,GENDER,VEHICLE_YEAR(before 2015),VEHICLE_TYPE(sports car)
42,2,2,0.5873836120460223,0.0,1.0,9.0,10,2,0,0.0,1,0,0
43,0,0,0.4064824253974476,0.0,0.0,16.0,0,0,0,1.0,1,1,0
44,1,1,0.2857471319596469,0.0,0.0,13.0,1,0,0,1.0,0,1,0
45,2,2,0.5022849652731057,0.0,0.0,14.0,3,0,4,0.0,1,1,1
46,3,2,0.6256257210210231,1.0,1.0,7.0,7,0,5,0.0,1,0,0
47,2,2,0.5158128096027941,1.0,1.0,11.0,3,0,2,0.0,0,0,0
48,1,1,0.3931531299744003,1.0,0.0,12.0,1,0,0,0.0,0,1,0
49,1,1,0.5039497598168121,0.0,0.0,14.0,1,0,0,0.0,0,1,0
50,2,2,0.6586274302571438,1.0,1.0,14.0,3,0,2,0.0,1,1,0
51,1,0,0.5241464657501199,0.0,0.0,17.0,0,0,0,1.0,0,1,0
52,3,2,0.5531007570628673,0.0,1.0,7.0,9,0,1,0.0,1,0,0
53,0,0,0.4475509489142775,0.0,1.0,8.0,0,0,0,1.0,0,1,0
54,0,0,0.5107331365064207,1.0,1.0,7.0,0,0,0,1.0,0,1,0
55,1,1,0.5158128096027941,1.0,1.0,15.0,0,0,0,0.0,0,0,0
56,0,0,0.4613735917269193,0.0,0.0,9.0,0,0,0,1.0,0,1,0
57,2,2,0.3875569443647317,0.0,0.0,12.0,2,0,1,0.0,0,0,0
58,2,2,0.5701572256616224,1.0,1.0,11.697003206900366,0,0,0,0.0,0,0,0
59,1,1,0.5501250875743224,1.0,0.0,16.0,0,1,0,0.0,1,1,0
60,2,2,0.4529442316093683,0.0,1.0,12.0,3,0,1,0.0,1,1,0
61,1,1,0.5158128096027941,1.0,1.0,8.0,2,0,1,0.0,1,1,0
62,2,2,0.5352743096602144,1.0,1.0,7.0,2,0,0,0.0,0,1,0
63,0,0,0.6147359485632915,1.0,0.0,15.0,0,0,0,1.0,0,1,0
64,2,2,0.4544471564329259,1.0,1.0,11.697003206900366,1,0,1,0.0,0,1,0
65,2,0,0.6137409183819416,1.0,0.0,11.697003206900366,0,0,0,0.0,0,1,0
66,2,1,0.5326613280250595,1.0,1.0,11.0,0,0,0,0.0,0,1,0
67,2,0,0.4277285143019345,1.0,0.0,15.0,0,0,0,1.0,0,1,0
68,3,2,0.6859457213719147,1.0,1.0,5.0,4,1,4,0.0,1,1,0
69,3,1,0.6936124267187082,1.0,1.0,10.0,2,0,0,0.0,1,1,0
70,3,2,0.5979905963582334,0.0,1.0,12.0,2,1,7,1.0,1,1,0
71,1,0,0.3308186664986927,0.0,1.0,12.0,0,0,0,1.0,1,0,0
72,2,2,0.5158128096027941,1.0,0.0,12.0,5,0,7,0.0,1,1,0
73,1,1,0.5158128096027941,1.0,0.0,9.0,2,0,0,0.0,0,1,0
74,0,0,0.5083042183803546,1.0,0.0,16.0,0,0,0,0.0,1,1,0
75,1,0,0.7641329165005233,1.0,1.0,12.0,0,0,0,0.0,0,1,0
76,2,0,0.4775169603837716,1.0,1.0,14.0,0,0,0,0.0,0,0,0
77,2,2,0.6812332078486962,1.0,1.0,10.0,0,0,1,0.0,0,1,0
78,2,0,0.4671555457007022,1.0,0.0,16.0,0,0,0,0.0,1,0,0
79,0,0,0.3941632454999797,1.0,0.0,16.0,0,0,0,1.0,0,1,0
80,2,1,0.6610607322734078,1.0,1.0,14.0,0,0,0,0.0,0,0,0
81,2,2,0.6651879748430346,0.0,0.0,14.0,2,0,1,0.0,1,1,0
82,0,0,0.560770206632082,1.0,0.0,11.0,0,0,0,0.0,0,1,0
83,1,1,0.7454327103696547,0.0,0.0,9.0,0,0,0,0.0,0,0,0
84,1,1,0.53257435224505,1.0,1.0,13.0,1,0,2,0.0,1,1,0
85,1,1,0.5267473391434415,1.0,0.0,14.0,0,0,0,0.0,0,0,0
86,0,0,0.4124517461654282,0.0,0.0,14.0,0,0,0,1.0,0,1,0
87,2,2,0.3871071449018297,0.0,0.0,16.0,0,0,6,0.0,1,1,0
88,3,1,0.5499938678343249,1.0,1.0,9.0,3,1,1,0.0,1,1,0
89,0,0,0.5853420947575604,1.0,1.0,12.0,0,0,0,1.0,1,1,1
90,3,3,0.5987396054343311,1.0,1.0,14.0,6,1,3,0.0,1,1,0
91,2,2,0.6026557000791793,1.0,1.0,7.0,4,0,6,0.0,1,0,0
92,1,0,0.5114570584803535,1.0,1.0,11.697003206900366,0,0,0,0.0,0,0,0
93,2,2,0.5586591735288894,0.0,0.0,15.0,3,0,2,0.0,0,1,0
94,2,1,0.6284070137170304,0.0,0.0,13.0,0,0,0,1.0,1,1,0
95,2,0,0.5057903732571783,1.0,0.0,13.0,0,0,0,0.0,1,1,0
96,1,1,0.7268184180645275,1.0,1.0,15.0,2,0,0,0.0,0,1,0
97,3,2,0.6904423335733175,1.0,1.0,9.0,8,0,2,0.0,1,0,0
98,2,2,0.4796771646619314,0.0,1.0,14.0,1,0,2,0.0,1,0,0
99,1,1,0.5158128096027941,1.0,1.0,11.0,3,1,0,0.0,1,0,0
100,2,2,0.4405592041968235,1.0,1.0,11.0,1,0,2,0.0,0,0,0
101,0,0,0.634052597196068,1.0,0.0,11.697003206900366,0,0,0,1.0,0,1,0
102,0,0,0.4574695879943666,0.0,0.0,11.697003206900366,0,0,0,0.0,0,1,0
103,1,0,0.3086490182004943,0.0,0.0,14.0,0,0,0,0.0,1,1,0
104,0,0,0.2458351852340737,0.0,1.0,11.0,0,0,0,1.0,1,1,0
105,0,0,0.3056465190413162,0.0,0.0,14.0,0,0,0,1.0,1,1,0
106,1,1,0.7440140862681482,1.0,0.0,13.0,2,0,1,0.0,1,1,0
107,2,1,0.6704645467899408,1.0,1.0,14.0,0,0,0,0.0,1,0,0
108,3,3,0.6830407984824192,0.0,1.0,10.0,4,1,3,0.0,0,0,0
109,0,0,0.828628569053192,1.0,0.0,13.0,0,0,0,1.0,1,1,0
110,3,3,0.5158128096027941,1.0,1.0,10.0,12,2,2,0.0,1,1,0
111,3,3,0.6293380939717407,1.0,1.0,11.0,2,0,2,0.0,0,1,0
112,0,0,0.28372421050714,0.0,0.0,15.0,0,0,0,1.0,1,1,0
113,0,0,0.4576486815858435,1.0,0.0,14.0,0,0,0,1.0,1,0,1
114,0,0,0.3049876423937953,0.0,0.0,15.0,0,0,0,1.0,0,1,0
115,0,0,0.5517442884135392,0.0,1.0,10.0,0,0,0,1.0,1,1,0
116,0,0,0.3186855562451054,1.0,1.0,9.0,0,0,0,1.0,1,1,0
117,1,1,0.436944194154781,1.0,0.0,12.0,3,0,0,0.0,1,1,0
118,2,1,0.6291939843221722,1.0,1.0,7.0,5,0,1,0.0,1,1,0
119,0,0,0.4055600158887265,1.0,0.0,17.0,0,0,0,1.0,1,1,0
120,0,0,0.6235462115803201,1.0,1.0,11.0,0,0,0,0.0,1,1,0
121,3,1,0.7270329897821235,1.0,1.0,10.0,1,1,2,0.0,1,1,0
122,3,2,0.426828388879915,1.0,1.0,14.0,3,1,7,0.0,1,1,0
123,1,1,0.5036589704487734,1.0,0.0,10.0,1,2,0,0.0,0,1,0
124,1,1,0.5158128096027941,0.0,0.0,12.0,2,0,0,0.0,0,1,0
125,3,3,0.7264400018455291,1.0,1.0,7.0,2,0,3,0.0,1,0,0
126,0,0,0.2444900931240796,0.0,0.0,11.697003206900366,0,0,0,1.0,0,1,0
127,0,0,0.5757707974509628,1.0,0.0,11.0,0,0,0,1.0,1,1,0
128,0,0,0.5158128096027941,0.0,0.0,10.0,0,0,0,1.0,1,1,1
129,0,0,0.468671965728324,1.0,0.0,9.0,0,0,0,1.0,1,0,0
130,3,2,0.6970834558464781,0.0,0.0,13.0,3,0,2,0.0,1,0,0
131,2,2,0.5429181079423034,1.0,0.0,15.0,1,1,0,0.0,0,1,0
132,3,3,0.6722562535141292,1.0,1.0,9.0,4,1,2,0.0,1,1,0
133,0,0,0.3864066185703315,0.0,0.0,8.0,0,0,0,1.0,1,1,0
134,0,0,0.5512978330713669,1.0,1.0,12.0,0,0,0,1.0,1,1,0
135,2,2,0.5985570254244251,0.0,1.0,14.0,4,1,4,0.0,1,0,0
136,1,1,0.5158128096027941,0.0,1.0,11.697003206900366,0,0,1,0.0,0,1,0
137,2,2,0.5824219946087406,1.0,1.0,11.0,2,0,1,0.0,0,0,0
138,1,1,0.540182723180248,1.0,1.0,11.697003206900366,0,0,1,0.0,0,1,0
139,3,2,0.6330139475122963,1.0,0.0,14.0,3,1,4,0.0,1,0,0
140,2,2,0.552204630296896,1.0,1.0,12.0,6,0,3,0.0,1,0,0
141,1,0,0.3266816101781183,0.0,0.0,16.0,0,0,0,1.0,0,1,0
142,2,2,0.5880825424047316,1.0,1.0,13.0,7,1,1,0.0,1,1,0
143,3,0,0.7022748020975709,0.0,1.0,10.0,0,0,0,1.0,0,1,0
144,3,0,0.7266055391975765,1.0,0.0,13.0,0,0,0,0.0,0,1,0
145,1,1,0.5158128096027941,0.0,1.0,12.0,3,2,3,1.0,1,1,0
146,3,3,0.73238212135242,1.0,1.0,12.0,5,1,5,0.0,1,1,0
147,0,0,0.2012839211827758,1.0,0.0,12.0,0,0,0,1.0,0,1,0
148,1,1,0.4641607076311848,0.0,0.0,16.0,0,1,0,0.0,1,1,0
149,2,2,0.6579677428053038,1.0,1.0,13.0,1,0,1,0.0,0,0,0
150,3,3,0.6002161554309658,1.0,1.0,13.0,5,2,4,0.0,1,1,0
151,3,3,0.6663760181644964,1.0,1.0,12.0,3,0,7,0.0,1,0,0
152,1,0,0.4031472802313768,1.0,1.0,10.0,0,0,0,0.0,1,1,0
153,3,2,0.4169350441301069,1.0,0.0,13.0,5,1,5,0.0,1,1,0
154,3,3,0.5948797136778915,1.0,1.0,8.0,10,0,1,0.0,0,1,1
155,1,1,0.3804265034620669,0.0,1.0,16.0,1,0,1,0.0,1,1,0
156,0,0,0.5158128096027941,0.0,0.0,14.0,0,0,0,1.0,0,1,0
157,3,3,0.680617632406099,1.0,1.0,12.0,1,2,2,0.0,0,1,0
158,2,0,0.3559504699938693,1.0,0.0,16.0,0,0,0,1.0,1,1,0
159,2,1,0.5158128096027941,1.0,0.0,10.0,2,0,0,0.0,0,1,0
160,3,3,0.587831426389767,1.0,1.0,11.697003206900366,3,0,1,0.0,0,0,1
161,3,1,0.5733880426029547,1.0,1.0,10.0,0,0,2,0.0,0,0,0
162,0,0,0.2964062828237805,1.0,0.0,13.0,0,0,0,1.0,1,1,0
163,3,1,0.4295096986208441,1.0,1.0,10.0,1,0,4,0.0,1,1,0
164,3,3,0.6885687186194461,1.0,0.0,11.0,2,0,0,0.0,0,0,0
165,3,2,0.700017431968704,1.0,0.0,13.0,1,0,1,0.0,0,0,0
166,1,1,0.4495886310379405,0.0,0.0,11.697003206900366,0,0,1,1.0,1,1,1
167,2,2,0.6900455818778344,1.0,1.0,11.0,2,1,1,0.0,0,0,0
168,2,1,0.4960298730510012,1.0,0.0,13.0,0,0,1,0.0,0,0,0
169,1,1,0.6563457625165399,0.0,1.0,6.0,8,0,0,0.0,1,0,0
170,2,0,0.4983566259941653,1.0,0.0,12.0,0,0,0,0.0,1,0,0
171,0,0,0.5463825431033477,1.0,1.0,12.0,0,0,0,0.0,0,1,0
172,2,1,0.3158628767091658,1.0,0.0,11.0,0,0,1,0.0,0,1,0
173,1,1,0.5300643171181573,1.0,0.0,11.697003206900366,1,0,2,1.0,1,1,0
174,1,1,0.3578391720711443,1.0,0.0,12.0,1,0,0,1.0,0,1,0
175,3,1,0.672756052841708,1.0,1.0,9.0,1,0,2,0.0,1,0,0
176,2,2,0.7419993760301162,1.0,0.0,11.697003206900366,2,0,2,0.0,1,0,0
177,3,3,0.6226519789949738,1.0,1.0,11.0,1,0,0,0.0,0,0,0
178,0,0,0.4801406677163008,0.0,0.0,14.0,0,0,0,1.0,0,0,0
179,3,3,0.6787954309829434,1.0,1.0,11.0,5,1,3,0.0,1,0,0
180,3,3,0.5158128096027941,1.0,1.0,10.0,13,1,6,0.0,1,1,0
181,2,2,0.5152467080125883,1.0,0.0,12.0,2,0,1,0.0,0,0,0
182,1,1,0.4899205986325767,1.0,0.0,13.0,3,0,1,0.0,1,1,0
183,3,3,0.4219579486132668,1.0,0.0,11.0,4,0,6,0.0,1,1,0
184,2,2,0.5843548496662949,1.0,0.0,11.697003206900366,1,0,2,0.0,1,1,0
185,0,0,0.5158128096027941,0.0,0.0,9.0,0,0,0,1.0,1,1,0
186,3,3,0.5581569698935803,1.0,0.0,14.0,0,0,0,0.0,0,0,0
187,0,0,0.19414954837432,0.0,1.0,12.0,0,0,0,1.0,1,1,1
188,0,0,0.300497330390378,0.0,0.0,13.0,0,0,0,1.0,1,1,0
189,2,2,0.6670906918498556,1.0,1.0,7.0,4,0,0,0.0,0,0,0
190,2,0,0.6130724079074048,1.0,1.0,11.697003206900366,0,0,0,1.0,1,1,0
191,2,1,0.5158128096027941,1.0,1.0,11.0,3,0,2,0.0,1,0,0
192,1,1,0.5952817629709132,1.0,1.0,8.0,1,0,1,0.0,1,1,0
193,1,0,0.3482357882933829,0.0,1.0,7.0,0,0,0,1.0,1,1,0
194,1,1,0.3566396714745861,1.0,1.0,8.0,3,0,1,0.0,1,0,0
195,1,1,0.3486591269429803,0.0,1.0,12.0,0,0,0,1.0,0,1,0
196,2,0,0.5594684860915574,1.0,0.0,12.0,0,0,0,1.0,1,1,0
197,0,0,0.514483730987584,0.0,0.0,12.0,0,0,0,1.0,1,1,0
198,2,2,0.5626384060668865,1.0,0.0,13.0,2,1,0,0.0,0,0,0
199,2,2,0.5717246252857962,1.0,0.0,15.0,2,2,1,0.0,1,1,0
200,3,3,0.6510078690171576,1.0,1.0,12.0,5,0,2,0.0,0,0,0
201,0,0,0.3707348173567914,1.0,0.0,12.0,0,0,0,1.0,1,1,0
202,0,0,0.3051450776813433,1.0,0.0,14.0,0,0,0,0.0,1,1,0
203,1,1,0.5744144216758436,1.0,0.0,11.697003206900366,2,0,5,1.0,1,1,0
204,1,1,0.4500145680826032,1.0,0.0,13.0,1,0,1,0.0,0,1,0
205,1,1,0.6364490959261638,1.0,1.0,11.697003206900366,0,1,4,0.0,1,1,0
206,3,3,0.4576717029360895,0.0,1.0,11.697003206900366,4,0,8,0.0,1,1,0
207,1,0,0.3357473732007096,0.0,0.0,15.0,0,0,0,1.0,0,1,0
208,1,1,0.3186947648911332,0.0,0.0,11.697003206900366,1,2,0,0.0,0,1,1
209,1,1,0.5578403271955679,1.0,1.0,10.0,2,0,0,0.0,1,0,0
210,0,0,0.1924274124285441,0.0,0.0,11.0,0,0,0,1.0,0,1,0
211,1,1,0.3528243251354439,0.0,1.0,11.0,6,1,3,1.0,1,1,1
212,3,0,0.647569234863379,0.0,1.0,11.0,0,0,0,1.0,0,0,0
213,0,0,0.4572362634438549,1.0,0.0,10.0,0,0,0,0.0,0,0,0
214,1,1,0.5042469291759577,1.0,0.0,13.0,0,0,1,0.0,1,1,0
215,0,0,0.3749625006784157,1.0,0.0,15.0,0,0,0,1.0,1,1,0
216,0,0,0.6603156212983624,1.0,0.0,11.0,0,0,0,0.0,0,1,1
217,2,2,0.4169178873741152,1.0,0.0,12.0,3,0,0,0.0,0,1,0
218,1,1,0.6350840347750659,1.0,1.0,17.0,0,1,0,0.0,0,1,0
219,1,1,0.4049288507406456,1.0,1.0,11.0,2,0,0,0.0,1,1,0
220,2,2,0.4956283926329951,0.0,1.0,11.0,2,0,0,0.0,0,0,0
221,0,0,0.3921778349659278,0.0,1.0,11.697003206900366,0,0,0,1.0,1,1,0
222,2,1,0.5149450496137513,1.0,1.0,11.0,0,0,2,0.0,0,0,0
223,3,3,0.5032225392796313,1.0,1.0,9.0,6,2,10,0.0,1,0,0
224,1,1,0.7140339031205747,1.0,1.0,11.0,0,0,0,1.0,0,1,0
225,1,1,0.3670512395145257,0.0,1.0,14.0,1,0,1,1.0,1,1,0
226,2,2,0.5793929043624154,1.0,0.0,13.0,2,0,0,0.0,0,1,0
227,2,2,0.5584702236402418,1.0,0.0,10.0,1,0,4,0.0,0,1,0
228,0,0,0.2919776582051944,0.0,0.0,12.0,0,0,0,1.0,0,1,0
229,2,2,0.6615841421190086,1.0,0.0,12.0,5,0,0,0.0,0,1,0
230,0,0,0.3788290288330991,0.0,0.0,17.0,0,0,0,1.0,0,1,0
231,0,0,0.3740705590179875,1.0,0.0,15.0,0,0,0,1.0,0,1,0
232,2,2,0.5158128096027941,1.0,0.0,13.0,3,1,2,0.0,1,1,0
233,3,3,0.4593785751523136,1.0,1.0,13.0,1,0,5,0.0,1,1,0
234,2,2,0.5158128096027941,1.0,0.0,15.0,2,0,5,0.0,1,1,0
235,2,0,0.4654506837575693,1.0,1.0,11.0,0,0,0,0.0,0,0,0
236,0,0,0.4086866980912735,1.0,0.0,9.0,0,0,0,1.0,1,1,0
237,3,2,0.5888021385021842,1.0,1.0,11.0,2,0,2,0.0,0,1,0
238,2,2,0.61502467895473,1.0,1.0,7.0,3,1,0,0.0,1,1,0
239,3,3,0.5158128096027941,1.0,1.0,8.0,2,0,0,0.0,0,1,0
240,2,2,0.5464601140543317,1.0,1.0,8.0,1,0,1,0.0,0,0,0
241,1,1,0.5158128096027941,1.0,0.0,16.0,1,0,1,0.0,0,1,0
242,3,0,0.737994819837278,1.0,1.0,17.0,0,0,0,0.0,1,0,0
243,2,1,0.4273733642706479,1.0,0.0,10.0,3,0,0,0.0,0,1,0
244,0,0,0.4129918414421705,0.0,0.0,11.697003206900366,0,0,0,1.0,0,1,0
245,2,2,0.6953231970861331,0.0,1.0,7.0,3,1,1,0.0,1,1,0
246,0,0,0.2912344134674337,0.0,0.0,13.0,0,0,0,1.0,0,1,0
247,0,0,0.2441332629984765,0.0,1.0,11.0,0,0,0,1.0,0,1,0
248,3,0,0.5082740148521835,1.0,1.0,9.0,0,0,0,0.0,1,0,0
249,0,0,0.2932584812581273,1.0,0.0,14.0,0,0,0,0.0,0,1,0
250,1,1,0.3436417190829057,0.0,0.0,13.0,0,1,0,1.0,0,1,0
251,0,0,0.5033225200786,0.0,0.0,15.0,0,0,0,1.0,0,1,1
252,1,0,0.5158128096027941,0.0,0.0,11.697003206900366,0,0,0,0.0,0,0,0
253,2,2,0.6630513690689503,1.0,1.0,11.697003206900366,2,0,0,0.0,0,0,0
254,2,0,0.2027084379448271,0.0,0.0,11.0,0,0,0,1.0,1,1,0
255,1,1,0.665343329329833,1.0,1.0,12.0,1,0,0,0.0,0,1,0
256,3,3,0.5386236932875669,1.0,1.0,9.0,8,0,5,0.0,1,0,0
257,0,0,0.4101367047885667,0.0,0.0,15.0,0,0,0,0.0,0,1,0
258,0,0,0.3136455846123201,1.0,0.0,13.0,0,0,0,0.0,1,1,0
259,1,0,0.5073241356207076,1.0,0.0,12.0,0,0,0,0.0,1,1,0
260,0,0,0.2095073883823189,0.0,0.0,14.0,0,0,0,1.0,1,1,0
261,0,0,0.4907240542637642,1.0,0.0,15.0,0,0,0,1.0,0,1,0
262,2,2,0.5814986743175801,1.0,1.0,14.0,5,0,0,0.0,1,1,0
263,1,0,0.6850359505244253,1.0,0.0,12.0,0,0,0,1.0,0,1,0
264,1,0,0.4739316494372351,1.0,0.0,11.697003206900366,0,0,0,0.0,1,0,0
265,0,0,0.5158128096027941,0.0,0.0,11.0,0,0,0,1.0,1,1,0
266,2,1,0.5128461364179456,1.0,1.0,10.0,4,0,2,0.0,1,0,0
267,2,1,0.6624617559275001,1.0,1.0,13.0,1,0,1,0.0,1,0,0
268,2,2,0.5564133152355352,1.0,0.0,17.0,1,0,4,0.0,0,1,0
269,0,0,0.2673466585061873,0.0,0.0,17.0,0,0,0,0.0,0,1,0
270,3,3,0.8094112590513309,1.0,1.0,9.0,5,0,4,0.0,0,1,0
271,0,0,0.3679435479917757,0.0,1.0,11.0,0,0,0,0.0,0,0,0
272,3,3,0.5033547111991341,0.0,0.0,11.0,5,0,3,0.0,0,1,0
273,3,0,0.5342877060116482,1.0,1.0,13.0,0,0,0,0.0,0,1,0
274,0,0,0.5158128096027941,0.0,0.0,10.0,0,0,0,0.0,0,1,1
275,0,0,0.5158128096027941,0.0,0.0,13.0,0,0,0,1.0,0,1,0
276,2,2,0.4490117755463273,1.0,1.0,7.0,7,0,1,1.0,1,1,0
277,2,2,0.8032523419405172,1.0,0.0,10.0,2,0,3,0.0,1,1,0
278,1,0,0.5158128096027941,1.0,1.0,8.0,0,0,0,0.0,0,1,1
279,0,0,0.186185114720855,0.0,0.0,17.0,0,0,0,1.0,0,1,0
280,2,1,0.5158128096027941,1.0,1.0,13.0,0,1,0,0.0,0,0,0
281,1,1,0.3151293556030717,0.0,0.0,11.697003206900366,2,0,1,0.0,1,1,0
282,0,0,0.5158128096027941,0.0,0.0,12.0,0,0,0,0.0,1,1,0
283,3,3,0.4836380123288594,1.0,1.0,9.0,4,1,2,0.0,0,0,0
284,1,1,0.3858741008429725,1.0,0.0,14.0,0,1,0,0.0,0,1,0
285,3,3,0.6343725020457226,1.0,1.0,11.0,11,1,5,0.0,1,0,0
286,0,0,0.3621741186724681,1.0,0.0,16.0,0,0,0,1.0,1,1,0
287,1,1,0.5158128096027941,0.0,1.0,5.0,0,2,3,1.0,0,1,0
288,3,1,0.6928836357133882,1.0,1.0,10.0,2,0,1,0.0,0,1,0
289,3,3,0.5777028525076912,1.0,0.0,11.0,2,0,3,0.0,0,1,0
290,2,2,0.6640650143948857,1.0,1.0,11.0,0,1,1,0.0,1,0,0
291,2,2,0.4897024062963834,0.0,0.0,11.697003206900366,3,0,1,0.0,1,0,0
292,1,0,0.2828694808711571,0.0,1.0,13.0,0,0,0,1.0,0,1,1
293,2,0,0.4317004117968687,0.0,0.0,10.0,0,0,0,1.0,1,1,0
294,0,0,0.1264534313986037,1.0,0.0,14.0,0,0,0,1.0,1,1,0
295,0,0,0.2859976102627207,0.0,0.0,12.0,0,0,0,1.0,1,1,0
296,1,1,0.5430074428650375,1.0,0.0,15.0,1,0,1,0.0,1,0,0
297,1,1,0.3706567853008601,1.0,0.0,11.697003206900366,6,0,1,0.0,1,1,0
298,0,0,0.5158128096027941,0.0,0.0,18.0,0,0,0,0.0,0,1,1
299,3,2,0.7917101109944502,1.0,1.0,11.0,5,0,2,0.0,0,0,0
300,1,1,0.4717963087189384,0.0,1.0,5.0,0,0,2,0.0,0,1,0
301,1,1,0.5158128096027941,0.0,1.0,12.0,0,0,0,0.0,1,1,0
302,1,1,0.628633149594721,0.0,1.0,9.0,0,1,2,1.0,0,1,0
303,0,0,0.3448180556225356,0.0,0.0,10.0,0,0,0,1.0,1,1,0
304,2,2,0.5478225909631781,1.0,0.0,15.0,5,0,1,0.0,1,1,1
305,0,0,0.3398648345906033,0.0,0.0,16.0,0,0,0,1.0,1,1,0
306,0,0,0.2897871439465148,0.0,0.0,13.0,0,0,0,0.0,0,0,0
307,0,0,0.5979347864750699,1.0,1.0,13.0,0,0,0,1.0,1,1,0
308,1,0,0.3692930793988261,0.0,0.0,14.0,0,0,0,1.0,0,1,0
309,3,3,0.4171250369936769,1.0,1.0,9.0,6,1,6,0.0,1,1,0
310,2,2,0.570277670616915,1.0,1.0,7.0,5,1,4,0.0,1,1,0
311,2,2,0.5340483380212564,1.0,0.0,16.0,1,0,0,1.0,0,1,1
312,2,2,0.5158128096027941,0.0,1.0,11.0,5,0,0,0.0,1,0,0
313,2,0,0.5968280062363127,1.0,1.0,13.0,0,0,0,0.0,1,0,0
314,3,3,0.6409488031039333,1.0,1.0,11.697003206900366,2,1,4,0.0,0,0,0
315,2,2,0.5860627511953006,0.0,0.0,13.0,2,1,0,0.0,0,1,1
